a 啊
cfsl 餐风宿露
cfyl 餐风饮露
cggc 层高
cgbd 才高八斗
cgci 层次
cgcg 层层
cgdq 层叠
cgdj 从古到今
cgdv 曾对
cgjq 踩过界
cgjk 曾经
cgji 层级
cgle 错过了
cglv 残羹冷炙
cgmm 层面
cgrf 曾任
cgui 曾是
cguo 曾说
cguf 残羹剩饭
cgvj 从古至今
cgww 菜过五味
cgyz 曾有
cgyh 挫骨扬灰
cgzd 曾在
chbd 苍白
chbc 藏宝
chbl 残花败柳
chch 苍苍
chcu 仓促
chcv 苍翠
chdd 采花大盗
chel 从何而来
chgr 聪慧过人
chhd 沧海
chhc 藏好
chhl 仓皇
chhy 才华横溢
chiu 仓储
chit 仓皇出逃
chiv 才华出众
chji 催化剂
chjq 仓颉
chku 仓库
chlc 苍老
chll 苍凉
chmh 苍茫
chmf 舱门
chni 藏匿
chnw 舱内
chnf 错恨难返
chpk 藏品
chqs 苍穹
chsh 沧桑
chsi 藏私
chss 苍松
chst 沧海桑田
chtm 苍天
chuu 藏书
chuc 仓皇失措
chuf 藏身
chug 苍生
chuj 苍山
chuq 从何说起
chve 藏着
chvo 藏拙
chww 仓位
chyk 苍蝇
chys 沧海一粟
chyv 沧海遗珠
chyx 存乎一心
chzd 藏在
chzj 此话怎讲
ciai 慈爱
cian 此岸
cibh 此唱彼和
cibq 辞别
cibq 层出不穷
cibw 慈悲
cibi 刺鼻
cici 此次
cidc 刺刀
cidd 磁带
cidf 粗茶淡饭
cidi 此地
cidm 词典
cidn 辞掉
cier 刺耳
cifj 此番
cifh 次方
cifu 赐福
cigw 赐给
cigs 辞工
cigu 刺骨
cihd 辞海
cihv 词汇
cihz 此后
ciiu 此处
ciig 辞呈
ciih 磁场
ciir 刺穿
ciji 刺激
cijm 此间
cijn 赐教
ciju 此举
cijy 从长计议
cijj 草船借箭
cike 此刻
ciku 词库
cilw 此类
cile 辞了
ciln 磁疗
cilu 此路
cili 磁力
cimu 慈母
cind 此乃
cinm 次年
cinv 次女
cipk 次品
cipj 磁盘
cipk 瓷瓶
cipo 刺破
ciqi 瓷器
ciqk 刺青
ciqm 此前
ciqu 辞去
ciqs 词穷
cirf 此人
ciri 次日
ciru 刺入
citv 辞退
cith 祠堂
citj 刺探
citn 词条
citq 磁铁
cits 刺痛
ciua 刺杀
ciuf 刺身
ciug 此生
ciuh 刺伤
ciui 此时
ciuj 慈善
ciuu 次数
civi 辞职
civr 瓷砖
civs 此种
civv 词缀
ciwd 此外
ciwf 此文
ciww 刺猬
cixr 次选
cixu 次序
cixi 慈禧
cixk 雌性
cixl 慈祥
cixq 辞谢
cixq 刺绣
cixs 雌雄
ciyc 次要
ciyi 词义
ciyj 刺眼
ciyu 词语
ciyk 从长远看
cizc 辞藻
cizu 词组
cjan 惨案
cjbd 惨败
cjbc 残暴
cjbj 参半
cjbk 残兵
cjcy 残存
cjch 曾经沧海
cjch 曾经沧海难为水
cjdc 餐刀
cjdi 残敌
cjdj 惨淡
cjds 残冬
cjdz 蚕豆
cjeg 擦肩而过
cjfw 残废
cjgg 残羹
cjgr 参观
cjgu 参股
cjhd 残骸
cjhe 参合
cjho 惨祸
cjhu 曾几何时
cjie 餐车
cjij 参禅
cjir 残喘
cjjx 参加
cjjk 餐巾
cjji 残疾
cjjq 残旧
cjjk 惨景
cjjm 参见
cjjn 惨叫
cjju 餐具
cjjy 参军
cjkc 参考
cjkv 惭愧
cjkj 参看
cjku 残酷
cjle 惨了
cjlj 灿烂
cjlq 惨烈
cjlq 残留
cjmz 参谋
cjnm 残年
cjpo 残破
cjqt 残缺
cjqr 餐券
cjrf 残忍
cjrh 惨绝人寰
cjrj 惨然
cjrl 从谏如流
cjrm 草菅人命
cjsd 参赛
cjse 惭色
cjsi 蚕丝
cjsy 残损
cjtk 餐厅
cjtm 参天
cjti 残体
cjtq 从今天起
cjts 惨痛
cjtk 从今天开始
cjtz 参透
cjua 残杀
cjug 残生
cjui 蚕食
cjuu 参数
cjvc 参照
cjva 残渣
cjvg 参政
cjvi 残值
cjvj 参展
cjvl 惨状
cjvo 餐桌
cjvs 惨重
cjwu 参悟
cjwh 从今往后
cjxk 刺激性
cjxn 惨笑
cjxr 参选
cjxq 残屑
cjyu 参与
cjyk 餐饮
cjyh 从今以后
cjyj 参演
cjyt 参阅
cjyk 残影
cjyx 辞旧迎新
cjzc 惨遭
cjza 参杂
cjzj 参赞
cjzy 促进作用
cklx 摧枯拉朽
ckng 才可能
clbu 从来不
clbt 此路不通
clby 从来不用
clbi 错漏百出
clca 擦了擦
cldj 催泪弹
cldm 灿烂夺目
clhh 灿烂辉煌
clku 从零开始
clmy 从来没有
clwh 藏龙卧虎
clyv 错落有致
cmcv 聪明才智
cmeu 侧目而视
cmjb 草木皆兵
cmjd 聪明绝顶
cmfb 聪明反被聪明误
cmqu 催眠曲
cmll 聪明伶俐
cmtk 从明天开始
cmtq 从明天起
cmum 慈眉善目
cmuq 才貌双全
cmvy 摧眉折腰
cmxq 财迷心窍
cmxl 猜枚行令
cmyz 从没有
cmyb 策马扬鞭
cmyu 聪明一世
cmyx 草莽英雄
cmyg 从没有过
cngz 才能够
cnyh 从那以后
coai 错爱
coan 错案
cobd 挫败
cobj 搓板
coci 措辞
codc 锉刀
coee 错愕
cofg 错峰
cogo 错过
cogk 错怪
cohe 撮合
coig 搓成
coil 痤疮
coiu 错处
cojt 错觉
cokd 错开
cokj 错看
cole 错了
colr 错乱
colz 错漏
coma 错码
copj 错判
corz 搓揉
corf 错认
coto 蹉跎
coti 错题
coua 错杀
couh 磋商
coui 措施
couz 搓手
cove 挫折
coww 错位
cowu 错误
coxi 搓洗
coys 错用
cozi 错字
cozc 搓澡
cpdj 残篇断简
cpgu 擦屁股
cqbf 此起彼伏
cqbq 残缺不全
cqgr 才气过人
cqld 藏起来
cqxl 猜拳行令
cqyv 藏巧于拙
cqzh 擦枪走火
crbp 从容不迫
crdc 窜到
crdo 篡夺
crfx 灿若繁星
crfj 催人奋进
crgd 篡改
crgo 篡国
criu 窜出
crjk 窜进
zjji 攒机
crjy 从容就义
crlx 催人泪下
crnc 凑热闹
crqr 篡权
crru 窜入
crtc 窜逃
crww 篡位
cryd 从容应对
csbu 从不
cscb 苍松翠柏
csci 从此
cscs 匆匆
cscu 匆促
cser 从而
csfj 从犯
cshe 从何
cshv 聪慧
cshx 葱花
csjk 从今
csjl 葱姜
csjm 从简
csju 财色兼收
csjy 从军
cskr 从宽
cskk 沧桑坎坷
csld 从来
cslk 丛林
csll 从良
cslt 从略
cslv 葱绿
csmk 聪敏
csmh 匆忙
csmj 才思敏捷
csmk 聪明
csmw 从没
csqm 从前
csqk 从轻
csrs 从容
cssu 从速
cstz 从头
csui 从事
csug 丛生
csuu 从属
csvs 从中
csvg 从政
csww 从未
csxn 从小
csye 从业
csyj 从严
csyk 聪颖
csyz 从优
cszc 从早
ctbr 寸土不让
ctbv 寸土必争
ctdw 从头到尾
ctej 从天而降
ctku 从头开始
ctlw 藏头露尾
ctlg 从头来过
ctsy 蹉跎岁月
ctwm 粗通文墨
ctzi 醋坛子
ctzl 从头再来
ctzu 苍天在上
cubc 粗暴
cubf 粗笨
cubi 粗鄙
cubj 措手不及
cubu 粗布
cucc 粗糙
cucd 此时此地
cuck 此时此刻
cuda 粗大
cuds 促动
cudx 从上到下
cufh 粗放
cufa 猝发
cugl 粗犷
cugr 才识过人
cuhx 粗话
cuho 粗活
cuig 促成
cujk 促进
cuju 蹴鞠
cujc 错上加错
cujt 蚕食鲸吞
cukz 粗口
cukj 粗看
culu 粗鲁
culj 错失良机
cull 粗粮
culq 粗劣
cult 粗略
cumw 蹙眉
cuqi 粗气
cuqj 厕身其间
cuqm 粗浅
curf 粗人
curj 猝然
curl 从善如流
cusu 粗俗
cusi 猝死
cusr 醋酸
cuti 粗体
cuts 粗通
cuui 促使
culv 粗率
cuuu 粗疏
cuvl 粗壮
cuvd 藏身之地
cuvs 粗重
cuvv 从始至终
cuwu 此时无声胜有声
cuxk 粗心
cuxi 粗细
cuxm 粗线
cuxn 促销
cuxq 才疏学浅
cuye 粗野
cuys 簇拥
cuzh 次生灾害
cvbi 催逼
cvbj 催办
cvcj 璀璨
cvcu 催促
cvdy 粗枝大叶
cvgu 脆骨
cvgj 操之过急
cvhv 摧毁
cvhx 催化
cvij 催产
cvju 财政局
cvkr 催款
cvlv 翠绿
cvlw 催泪
cvlz 粗制滥造
cvmk 催命
cvmm 催眠
cvqu 萃取
cvro 脆弱
cvug 催生
cvuz 催收
cvvd 催债
cvvu 翠竹
cvww 翠微
cvxl 脆响
cvyl 从中渔利
cvyn 残渣余孽
cvyu 翠玉
cvyx 粗中有细
cvyv 藏着掖着
cvzg 从中作梗
cwbi 错误百出
cwdy 从无到有
cwjg 从未见过
cwjx 存亡绝续
cwng 藏污纳垢
cwrd 惨无人道
cwyg 从未有过
cxdy 粗心大意
cxdd 从小到大
cxfu 磁悬浮
cxny 藏形匿影
cxql 才想起来
cxtx 促膝谈心
cxzk 从现在开始
cybj 搓衣板
cybu 寸步
cyby 采阴补阳
cycd 猜一猜
cycc 寸草
cydu 参与度
cydc 存到
cydd 存贷
cydh 存档
cydo 忖度
cydb 残垣断壁
cybd 苍蝇不叮无缝的蛋
cydj 存单
cyev 从一而终
cyfh 存放
cyfu 村妇
cygf 存根
cygj 财源广进
cygg 财源滚滚
cygr 村官
cygu 村姑
cyho 存货
cyht 财运亨通
cyiu 存储
cyiy 此言差矣
cykr 存款
cykn 才有可能
cyku 从一开始
cykz 村口
cyll 存量
cyli 村里
cylo 村落
cylq 存留
zylz 呲牙咧嘴
cymk 村民
cypj 存盘
cypf 村野匹夫
cyqu 存取
cyqm 存钱
cyru 存入
cyue 村舍
cyuf 存身
cyve 存折
cyvd 村寨
cyvf 村镇
cyvh 村长
cyvl 村庄
cyvx 恻隐之心
cyww 存为
cywh 存亡
cyxk 存心
cyxu 存续
cyyi 存疑
cyye 村野
cyzd 存在
cyzi 村子
czcz 凑凑
czdc 凑到
czdw 从早到晚
czfz 错综复杂
czgj 存在感
czgz 凑够
czhe 凑合
czjk 凑近
czjr 才子佳人
czjx 踩在脚下
czlp 错字连篇
cznj 藏踪蹑迹
czqn 凑巧
czqi 凑齐
czqj 厕足其间
czqm 凑钱
cztd 操作台
cztl 惨遭屠戮
czuu 凑数
czxt 操作系统
czzu 凑足
daan 答案
daai 大爱
daba 大把
dabc 打包
dabd 打败
dabi 大笔
dabj 打扮
dabk 大病
dabm 大便
dabn 达标
dabo 大伯
dabu 大步
dacj 大餐
daco 打错
dacs 大葱
daci 打词
dada 大大
dadc 大道
dadh 搭档
dadi 打底
dadj 大胆
dadm 打点
dadn 打掉
dado 大多
dadq 大跌
dadr 打断
dads 打动
dadu 大度
dadv 大队
dady 打盹
dadz 大豆
daee 大额
dafa 打发
daff 打分
dafg 大风
dafh 大方
dafj 打翻
dafu 大佛
dafu 答复
dagc 大搞
dagd 大概
dage 大哥
dagh 大纲
dagk 打怪
dagl 打光
dago 大国
dags 打工
dagu 打鼓
dagw 打给
dagx 大褂
dagy 打滚
dagz 打钩
dagr 达观
dahc 大号
dahd 大海
dahe 大河
dahg 大亨
dahj 大喊
dahk 打坏
daho 大伙
dahr 大患
dahs 大红
dahu 大户
dahv 大会
dahx 大话
dahy 打昏
dahz 大吼
daia 打岔
daie 打车
daif 大臣
daig 达成
daih 大厂
daiu 打出
dajx 大家
daji 打击
dajk 大惊
dajl 大奖
dajm 搭建
dajn 打搅
dajq 大街
dajq 搭救
dajr 答卷
daju 大局
dajy 大军
daka 打卡
dakc 大考
dakd 打开
dakr 打款
daks 打孔
daku 大哭
dakv 大亏
dakx 打垮
dakz 大口
dala 耷拉
dalc 大佬
dald 达赖
dale 打了
dalh 大浪
dali 搭理
dalk 大龄
dall 大量
dalm 大连
dalo 打落
dalq 打猎
dalr 打乱
dalu 大陆
dalv 大绿
dalw 打雷
dalz 大楼
damf 大门
dama 大妈
dami 大米
damd 大卖
damk 大名
damo 打磨
damw 大媒
danc 大脑
danj 大难
dand 打奶
danl 大娘
danm 大年
danu 大怒
dapk 打拼
dapc 大炮
dapd 打牌
dapg 大鹏
dapi 大批
dapj 大盘
dapk 大屏
dapm 大片
dapo 打破
dapw 搭配
daqq 打球
daqi 大气
daqk 大庆
daql 搭腔
daqn 大桥
daqr 大权
daqu 打趣
darc 打扰
darf 大人
darh 大嚷
daru 打入
dasr 打算
dasc 打扫
dasd 大赛
dasi 打死
dasj 打散
dasv 打碎
dath 大堂
dati 答题
datj 打探
datk 打听
datq 打铁
dats 打通
datu 大图
datv 大腿
datz 大头
daua 大厦
daue 大赦
dauf 大神
dauv 打水
daug 大声
dauh 打伤
daui 大师
dauj 搭讪
dauk 大帅
dauu 大叔
dauz 打手
dave 打折
davf 打针
davh 打仗
davi 大致
davj 大战
davr 大专
davs 大众
davu 打住
davz 大洲
ddwh 大王
dawf 答问
dawu 大雾
dawj 打完
daxi 大喜
daxk 大型
daxl 大象
daxn 大小
daxq 大写
daxq 大修
daxr 大选
daxt 大学
daxx 打下
daxm 大仙
daya 打压
dayk 打印
daye 大爷
dayh 大洋
dayi 大意
dayj 大雁
dayk 答应
dayr 大院
dayt 大约
dayu 大雨
daza 打杂
dazc 打造
dazd 搭载
dazg 大增
dazi 打字
dazo 打坐
dazs 大宗
dazu 德昂族
dazv 大嘴
dbbp 打抱不平
dbcy 断壁残垣
dbdv 对不对
dbds 动不动
dbdl 大包大揽
dbdc 达不到
dbdd 得不到的
dbil 打不出来
dbiy 大病初愈
dbff 大部分
dbfr 大部分人
dbgt 对簿公堂
dbhv 都不会
dbiu 得不偿失
dbji 等不及
dbjq 低不就
dbkd 打不开
dbku 大败亏输
dbln 大不了
dbld 大不列颠
dblx 大步流星
dbmk 道不明
dbmv 淡泊明志
dbml 淡泊名利
dbnm 大半年
dbqi 对不起
dbqj 调兵遣将
dbru 倒不如
dbrl 倒背如流
dbrq 大不如前
dbrw 代表人物
dbri 东边日出西边雨
dbtu 大白天说梦话
dbtb 道不同不相为谋
dbts 打不通
dbtx 独步天下
dbui 倒不是
dbuh 对不上号
dbux 待办事项
dbuu 多不胜数
dbvu 对不住
dbvi 蛋白质
dbvd 都不知道
dbvh 打不着狐狸惹身骚
dbxk 代表性
dbxj 短兵相接
dbxl 电冰箱
dbxp 东奔西跑
dbxz 东奔西走
dbyk 大本营
dbyf 大饱眼福
dbye 大半夜
dbyi 大病一场
dbyu 独步一时
dbyd 倒不一定
dbyy 都不一样
dbzo 代表作
dbzu 蹬鼻子上脸
dcba 刀疤
dcbd 道白
dcbi 倒闭
dcbj 盗版
dcbk 刀柄
dcbo 导播
dcbq 道别
dcbw 刀背
dccc 稻草
dcci 到此
dcda 到达
dcdc 叨叨
dcde 道德
dcdh 倒挡
dcdi 到底
dcdj 导弹
dcdk 到顶
dcdm 到点
dcdu 导读
dcdy 多才多艺
dcdb 大慈大悲
dcfa 刀法
dcfg 刀锋
dcfw 盗匪
dcgz 导购
dcgc 祷告
dcge 倒戈
dcgl 刀光
dcgo 到过
dcgr 导管
dcgu 捣鼓
dcgv 捣鬼
dcgx 倒挂
dchc 倒好
dche 道贺
dchg 道行
dchh 导航
dcho 到货
dchv 捣毁
dchj 盗汗
dcia 刀叉
dcie 倒车
dcih 到场
dciu 到处
dcjm 刀剑
dcjn 道教
dcju 道具
dcjx 到家
dcjb 德才兼备
dcji 得寸进尺
dcld 到来
dcle 到了
dcli 道理
dclm 盗链
dclq 倒流
dclr 捣乱
dclu 道路
dcly 导论
dcls 打错了算盘
dcmd 倒卖
dcmh 倒忙
dcmi 稻米
dcmu 盗墓
dcmw 倒霉
dcnm 悼念
dcpm 刀片
dcpw 倒赔
dcqi 到期
dcql 刀枪
dcqm 道歉
dcqn 刀鞘
dcqq 盗窃
dcqu 盗取
dcre 导热
dcru 导入
dcsi 到死
dcsv 捣碎
dctv 倒退
dcta 倒塌
dctc 大错特错
dctd 倒台
dctg 倒腾
dcti 导体
dctk 到庭
dctm 稻田
dctq 倒贴
dctz 到头
dcuh 岛上
dcui 到时
dcuj 刀山
dcuu 倒数
dcuv 倒水
dcuz 到手
dcve 倒着
dcvh 到账
dcvi 导致
dcvj 到站
dcvr 倒转
dcww 到位
dcwv 到此为止
dcxi 道喜
dcxu 倒叙
dcxl 导向
dcxm 导线
dcxn 到校
dcxq 道谢
dcxr 倒悬
dcxt 道学
dcxx 倒下
dcxy 大材小用
dcyj 导演
dcyk 导引
dcyi 道义
dcyk 倒影
dcys 盗用
dcyu 岛屿
dcyz 导游
dcyr 大草原
dczi 刀子
dczz 盗走
dczu 刀俎
dczw 盗贼
ddbd 当断不断
ddbf 呆笨
ddbh 多多包涵
ddbi 代笔
ddbj 代办
ddbk 带病
ddbn 代表
ddbr 咄咄逼人
ddbt 胆大包天
ddbu 逮捕
ddbv 多多保重
ddbx 喋喋不休
ddci 代词
ddcc 躲躲藏藏
dddc 带到
dddd 点点滴滴
dddk 待定
dddm 带点
dddq 大敌当前
ddds 带动
dddu 歹毒
dddv 带队
dddx 独断独行
dder 戴尔
ddff 大大方方
ddfh 单刀赴会
ddfu 大夫
ddfj 带饭
ddge 带个
ddgs 代工
ddgg 大动干戈
ddgv 多多关照
ddgr 代管
ddgu 咄咄怪事
ddgw 带给
ddgx 呆瓜
ddgz 代沟
ddhv 待会
ddhx 打电话
ddhl 堵得慌
ddhb 颠倒黑白
ddhc 代号
ddhe 丹顶鹤
ddhf 打道回府
ddhr 打得火热
ddia 待查
ddij 待产
ddiu 大打出手
ddix 得道成仙
ddie 电动车
ddjx 代价
ddji 待机
ddjv 点到即止
ddke 代课
ddkf 大刀阔斧
ddkr 贷款
ddkz 代扣
ddlc 代劳
ddld 带来
ddle 带了
ddli 代理
ddlk 带领
ddll 大大咧咧
ddlu 带路
ddls 道德沦丧
ddli 躲得了初一躲不过十五
ddma 代码
ddmc 戴帽
ddmg 呆萌
ddmj 怠慢
ddmk 待命
ddmm 弟弟妹妹
ddnn 打打闹闹
ddpc 电灯泡
ddpi 待批
ddqi 对得起
ddqf 跌宕起伏
ddqk 颠倒乾坤
ddql 带枪
ddqm 带钱
ddqq 的的确确
ddqu 带去
ddrf 待人
ddrl 对答如流
ddss 哆哆嗦嗦
ddti 代替
ddtj 待摊
ddtu 歹徒
ddtz 带头
ddua 呆傻
dduf 颠倒是非
dduh 带上
dduu 袋鼠
dduy 地动山摇
ddur 大多数人
dduz 代收
ddve 带着
ddvf 当地政府
ddvh 呆账
ddvi 呆滞
ddvk 大打折扣
ddvl 袋装
ddvr 单刀直入
ddvu 逮住
ddvv 兜兜转转
ddvx 独断专行
ddvg 代征
ddvj 多多指教
ddwb 地大物博
ddwx 当代文学
ddwv 点到为止
ddww 代为
ddwf 东帝汶
ddxq 代谢
ddxk 带薪
ddxc 东躲西藏
ddxi 代代相传
ddxn 代销
ddxt 带血
ddxu 待续
ddxw 东倒西歪
ddxx 断断续续
ddye 待业
ddyi 歹意
ddyj 代言
ddym 独当一面
ddyp 倒打一耙
ddyu 待遇
ddyz 带有
ddzd 待在
ddzi 袋子
ddzo 呆坐
ddzu 傣族
ddzz 带走
debm 第二遍
debf 当耳边风
debk 得病
deby 大恩不言谢
deci 第二次
decc 德操
dedc 得到
dedh 得当
dedd 大恩大德
deff 得分
defa 得法
dege 第二个
dego 德国
dehv 大而化之
deig 得逞
deis 得宠
deiu 得出
dejl 得奖
dejq 得救
dele 得了
deld 吊儿郎当
deli 得力
dely 第二轮
demk 第二名
depn 得票
depf 当耳旁风
deqr 大而全
dese 嘚瑟
detm 第二天
deti 得体
deta 德尔塔
deug 得胜
deui 得失
deuz 得手
devi 得知
devu 得主
dewf 德文
deww 淡而无味
dexk 德行
dexi 得悉
deyh 德阳
deyi 得意
deyu 德语
deye 第二页
deyj 第二眼
dezv 得罪
dfbc 电饭煲
dfbl 东方不亮西方亮
dfcb 大发慈悲
dfdu 大幅度
dfdg 大富大贵
dfdl 大风大浪
dfdj 巅峰对决
dfhs 东方红
dfhv 洞房花烛
dfhv 洞房花烛夜
dfjc 大放厥词
dflt 大发雷霆
dfmm 单方面
dfnc 豆腐脑
dfpp 大腹便便
dfsw 答非所问
dfuj 打发时间
dfuy 大幅上扬
dfuu 大幅上升
dfuv 大幅上涨
dfva 豆腐渣
dfvj 大方之家
dfvv 大费周章
dfvf 地方政府
dfvg 豆腐渣工程
dfww 大范围
dfxk 地方性
dfxd 大幅下跌
dfxc 大幅下挫
dfxj 大幅下降
dfyc 大放异彩
dfyd 东风压倒西风
dfyw 荡妇淫娃
dfzr 道法自然
dfzj 登峰造极
dfzy 毒副作用
dgbc 登报
dgbi 等比
dgbf 打个比方
dgbv 丢官罢职
dgdc 等到
dgdd 等待
dgdg 等等
dgdk 登顶
dgdh 打个电话
dgfj 大锅饭
dggx 顶呱呱
dggc 登高
dggi 大功告成
dggl 灯光
dggr 灯管
dghc 等号
dgho 灯火
dghv 等会
dghz 等候
dghu 电光火石
dghd 打狗还得看主人
dgiy 胆固醇
dgie 等车
dgih 登场
dgji 等级
dgju 灯具
dgjx 等价
dgjy 刀光剑影
dgkr 等宽
dgke 登科
dglk 登临
dgle 等了
dgls 灯笼
dglu 登录
dglv 大概率
dgmo 大规模
dgmf 登门
dgmi 灯谜
dgng 渡过难关
dgpc 灯泡
dgql 打官腔
dgqg 得过且过
dgrf 等人
dgrx 地广人稀
dgsi 等死
dgts 等同
dgta 灯塔
dgtd 登台
dgtm 登天
dguh 登上
dgui 灯饰
dguj 登山
dgvc 灯罩
dgve 等着
dgvi 等值
dgvu 灯烛
dgvy 帝国主义
dgvm 达观知命
dgws 大公无私
dgwv 德高望重
dgxx 等下
dgxk 灯芯
dgxm 等闲
dgxn 等效
dgxu 多管闲事
dgxg 达官显贵
dgyu 等于
dgyj 瞪眼
dgyt 登月
dgyz 灯油
dgyc 等腰
dgyh 登高一呼
dgyi 道高一尺
dgzd 登载
dgzi 凳子
dgzy 打躬作揖
dgan 登岸
dhan 档案
dhbj 挡板
dhbk 当兵
dhci 档次
dhdi 当地
dhdc 挡道
dhdd 当代
dhdj 大喊大叫
dhdl 大红大绿
dhdz 大红大紫
dher 待会儿
dhfu 荡妇
dhfw 党费
dhgj 读后感
dhgr 当官
dhgh 党纲
dhgo 当过
dhgv 当归
dhhs 当红
dhhc 当好
dhhh 灯火辉煌
dhhu 大好河山
dhhv 党徽
dhhm 电话号码
dhhy 电话会议
dhic 当朝
dhid 当差
dhig 当成
dhih 当场
dhiu 当初
dhie 打黑除恶
dhjk 当今
dhji 当即
dhjl 灯红酒绿
dhjm 党建
dhju 当局
dhjv 刁滑奸诈
dhjx 当家
dhle 当了
dhll 大汗淋漓
dhlh 当啷
dhlt 大祸临头
dhlu 挡路
dhlv 大海捞针
dhlj 德黑兰
dhmm 当面
dhnm 当年
dhnw 党内
dhpd 党派
dhpk 荡平
dhpu 当铺
dhqm 当前
dhqr 当权
dhqu 大获全胜
dhqx 打虎亲兄弟
dhrj 当然
dhri 当日
dhrz 对号入座
dhso 导火索
dhtm 当天
dhtk 当庭
dhtz 当头
dhuh 当上
dhui 当时
dhug 大好时光
dhuv 定海神针
dhve 当着
dhvf 当真
dhvg 党政
dhvh 党章
dhvs 当中
dhvu 挡住
dhwd 党外
dhwj 当晚
dhww 党委
dhxk 当心
dhxj 大呼小叫
dhxm 当先
dhxn 党校
dhxr 当选
dhxx 当下
dhye 当夜
dhyh 荡漾
dhyr 党员
dhyt 当月
dhyu 党羽
dhzo 当作
dhzu 党组
diai 低矮
dian 堤岸
dibd 迪拜
dibj 地板
dibk 敌兵
dibn 地表
dibu 底部
dibf 低成本
dicg 底层
dida 抵达
didc 地道
didd 地带
didg 低等
didh 抵挡
didi 弟弟
didl 大吹大擂
didm 地点
didn 低调
didr 地段
dids 地洞
didv 敌对
didw 大彻大悟
dier 第二
diff 低分
difh 地方
difu 地府
difl 大吹法螺
digc 底稿
digh 抵港
digo 帝国
digu 低估
digv 递归
digw 递给
digx 地瓜
digz 地沟
dihj 倒春寒
dihc 低耗
dihl 帝皇
dihv 诋毁
dihz 敌后
diic 低潮
diif 低沉
diih 抵偿
diij 地产
diir 嫡传
diiu 抵触
diiv 低垂
dijk 递进
diji 低级
dijm 递减
dijn 递交
dijq 缔结
dijx 低价
dijy 敌军
dikd 低开
dikh 抵抗
diks 低空
dikx 东床快婿
dikz 抵扣
dilc 地牢
dild 抵赖
dile 低了
dili 地理
dilq 提溜
dilm 低廉
dilo 低落
dilq 低劣
dilw 地雷
dily 涤纶
dimc 地貌
dimi 低迷
dimk 地名
dimm 地面
dimw 弟妹
ding 低能
dipk 低频
dipd 底牌
dipi 地皮
dipj 地盘
dipm 底片
dipu 地铺
diqi 底气
diqk 地勤
diqj 洞察其奸
diqn 地壳
diqq 地球
diqt 的确
diqu 地区
dirf 敌人
dise 底色
disi 第四
disj 第三
diss 递送
disu 低俗
disy 得偿所愿
dith 低糖
ditj 地毯
ditk 迪厅
ditq 地铁
ditu 地图
ditv 递推
ditz 低头
ditm 底朝天
diuc 低烧
diuf 东窗事发
diug 低声
diuh 地上
diui 地势
diuu 底数
diuv 地税
diuz 低手
divd 抵债
dive 低着
divf 地震
divh 抵账
divi 地址
divu 地主
divr 地砖
diwa 低洼
diwf 低温
diwh 帝王
diwo 敌我
diww 地位
dixk 底薪
dixc 冬虫夏草
dixi 底细
dixj 雕虫小技
dixk 地形
dixm 底线
dixn 抵消
dixs 弟兄
dixt 滴血
dixx 地下
diya 抵押
diyk 低音
diyi 第一
diyj 递延
diyp 打成一片
diyv 达成一致
diyr 地缘
diyt 缔约
diyu 低于
diyy 底蕴
dizc 缔造
dizg 递增
dizi 弟子
dizo 底座
dizv 抵罪
didu 低度
djbc 担保
djbd 蛋白
djbk 单兵
djbo 单薄
djbf 打击报复
djci 单词
djcw 低级错误
djda 胆大
djdc 弹道
djdd 担待
djdg 对酒当歌
djdh 担当
djdj 淡淡
djdk 淡定
djdn 单调
djdq 大江东去
djds 丹东
djdu 单独
djeg 待价而沽
djff 大家风范
djfh 单方
djfj 但凡
djfu 担负
djfw 单飞
djfy 刀锯斧钺
djgc 蛋糕
djge 单个
djgh 单杠
djgj 胆敢
djgl 大驾光临
djgv 单轨
djgx 大家闺秀
djhc 单号
djxk 单行
djhj 胆寒
djhl 蛋黄
djhe 单核
djhx 淡化
djhy 独具慧眼
djiy 单纯
djie 单车
djif 诞辰
djig 单程
djir 单传
djiu 淡出
djji 单机
djjl 殚精竭虑
djjm 单间
djjr 蛋卷
djjt 旦角
djju 单据
djjx 单价
djke 蛋壳
djkz 单口
djll 胆量
djld 当机立断
djlj 弹尽粮绝
djlm 单恋
djlq 单列
djlt 胆略
djlw 蛋类
djmo 淡漠
djmd 丹麦
djmk 单名
djmu 弹幕
djnh 胆囊
djng 但能
djnb 大江南北
djpd 单排
djpk 单凭
djpm 弹片
djpo 胆魄
djqt 但却
djqk 单亲
djqk 丹青
djqq 胆怯
djqq 但求
djqu 单曲
djqw 低级趣味
djrf 担任
djri 单日
djrj 淡然
djru 堆积如山
djse 单色
djta 蛋挞
djtm 丹田
djtn 单挑
djtv 单腿
djtz 弹头
djtg 蛋疼
djti 地久天长
djui 但是
djuf 单身
djug 诞生
djup 担惊受怕
djus 大惊失色
djuu 单数
djuv 淡水
djuz 单手
djua 丹砂
djvb 点睛之笔
djvi 单指
djvl 淡妆
djvm 当局者迷
djvu 弹珠
djww 单位
djwh 淡忘
djwj 弹丸
djwu 耽误
djwv 大局为重
djxk 担心
djxg 大惊小怪
djxi 旦夕
djxl 单向
djxn 胆小
djxr 单选
djxx 大街小巷
djxm 对角线
djya 淡雅
djyc 弹药
djye 但也
djyd 大局已定
